commit	score	score_std	mean_rank	p_top3	n_sims	status	description
a42634f	1871.8	114.7	5.35	0.34	300	discard	auto 78 screen: {"need_bonus": 42.005, "flex_bonus": 10.964, "depth_quota_wr": 4, "surplus_penalty": 28.142, "bench_bonus": 7.808, "wait_margin": 4.441, "kdef_rounds_from_end": 1, "injury_penalty": 50.361, "rb_early_bonus": 5.521, "te_earliest_round": 2, "avail_sigm
a42634f	1867.3	113.2	5.25	0.363	300	discard	auto 79 screen: {"need_bonus": 18.195, "flex_bonus": 9.337, "depth_quota_rb": 4, "depth_quota_wr": 6, "depth_quota_qb": 2, "surplus_penalty": 31.092, "bench_bonus": 4.889, "wait_discount": 0.315, "wait_margin": 5.643, "injury_penalty": 73.928, "rb_early_bonus": 7.81
a42634f	1880.1	114.2	5.11	0.38	300	discard	auto 80 screen: {"need_bonus": 32.535, "flex_bonus": 4.381, "depth_quota_wr": 6, "surplus_penalty": 9.452, "bench_bonus": 10.607, "wait_discount": 0.333, "wait_margin": 4.305, "injury_penalty": 39.953, "rb_early_bonus": 2.921, "te_earliest_round": 2, "avail_sigma": 
a42634f	1829.2	116.5	6.3	0.227	300	discard	auto 81 screen: {"need_bonus": 51.234, "flex_bonus": 5.443, "surplus_penalty": 4.313, "bench_bonus": 4.321, "wait_discount": 0.615, "wait_margin": 5.755, "kdef_rounds_from_end": 1, "injury_penalty": -42.688, "rb_early_bonus": 4.014, "qb_earliest_round": 3, "avail_si
a42634f	1878.1	120.5	5.11	0.375	2700	discard	auto 82 confirmed: {"need_bonus": 83.597, "flex_bonus": 8.327, "depth_quota_wr": 6, "depth_quota_qb": 2, "surplus_penalty": 11.071, "bench_bonus": 6.48, "wait_discount": 0.332, "wait_margin": 3.757, "injury_penalty": 162.355, "rb_early_bonus": 11.015, "qb_earliest_roun
a42634f	1845.3	115.7	5.94	0.28	300	discard	auto 83 screen: {"need_bonus": 51.191, "flex_bonus": -1.862, "depth_quota_rb": 2, "depth_quota_qb": 4, "surplus_penalty": 52.332, "bench_bonus": 8.503, "wait_discount": 0.626, "wait_margin": 6.358, "injury_penalty": -12.647, "rb_early_bonus": 6.701, "avail_sigma": 1
a42634f	1881.5	123.0	5.02	0.39	2700	discard	auto 84 confirmed: {"need_bonus": 29.388, "flex_bonus": 12.862, "surplus_penalty": 29.949, "bench_bonus": 5.889, "wait_discount": 0.269, "wait_margin": 5.428, "injury_penalty": 47.71, "rb_early_bonus": 8.833, "qb_earliest_round": 5, "te_earliest_round": 2, "avail_sigma
a42634f	1869.8	124.2	5.2	0.393	300	discard	auto 85 screen: {"need_bonus": 47.627, "flex_bonus": 14.272, "depth_quota_wr": 4, "depth_quota_te": 2, "depth_quota_qb": 4, "surplus_penalty": 26.44, "bench_bonus": 6.92, "wait_discount": 0.204, "wait_margin": 3.814, "kdef_rounds_from_end": 3, "injury_penalty": 76.0
a42634f	1845.9	110.8	6.01	0.277	300	discard	auto 86 screen: {"need_bonus": 52.247, "flex_bonus": 15.356, "depth_quota_rb": 2, "depth_quota_qb": 4, "surplus_penalty": 16.22, "bench_bonus": 7.964, "wait_discount": 0.328, "wait_margin": 3.612, "kdef_rounds_from_end": 1, "injury_penalty": 85.373, "rb_early_bonus"
a42634f	1865.5	122.9	5.33	0.367	300	discard	auto 87 screen: {"need_bonus": 31.752, "flex_bonus": 11.329, "depth_quota_wr": 4, "depth_quota_qb": 4, "surplus_penalty": 25.399, "bench_bonus": 13.457, "wait_discount": 0.34, "wait_margin": 2.121, "injury_penalty": 125.746, "rb_early_bonus": 6.153, "qb_earliest_rou
a42634f	1884.8	125.3	5.04	0.407	300	discard	auto 88 screen: {"need_bonus": 44.304, "flex_bonus": 15.537, "surplus_penalty": 31.838, "bench_bonus": 7.822, "wait_discount": 0.337, "wait_margin": 4.733, "injury_penalty": 94.638, "rb_early_bonus": 7.225, "te_earliest_round": 2, "avail_sigma": 7.235, "avail_streng
a42634f	1884.6	123.2	5.06	0.38	300	discard	auto 89 screen: {"need_bonus": 39.356, "flex_bonus": 10.273, "depth_quota_rb": 4, "depth_quota_wr": 4, "depth_quota_te": 4, "surplus_penalty": 31.19, "bench_bonus": 6.79, "wait_discount": 0.323, "wait_margin": 4.179, "injury_penalty": 54.397, "rb_early_bonus": 7.877
a42634f	1891.7	120.2	4.78	0.423	2700	discard	auto 90 confirmed: {"need_bonus": 30.348, "flex_bonus": 9.319, "depth_quota_te": 2, "depth_quota_qb": 4, "surplus_penalty": 32.272, "bench_bonus": 4.525, "wait_discount": 0.468, "wait_margin": 2.751, "kdef_rounds_from_end": 3, "injury_penalty": 51.984, "rb_early_bonus"
a42634f	1864.4	115.6	5.48	0.333	300	discard	auto 91 screen: {"need_bonus": 56.367, "flex_bonus": 8.078, "depth_quota_te": 4, "depth_quota_qb": 4, "surplus_penalty": 23.967, "bench_bonus": 5.77, "wait_discount": 0.375, "wait_margin": 3.976, "injury_penalty": 59.324, "rb_early_bonus": 5.832, "avail_sigma": 10.3
a42634f	1876.4	117.2	5.12	0.373	300	discard	auto 92 screen: {"need_bonus": 48.42, "flex_bonus": 7.947, "depth_quota_rb": 2, "depth_quota_te": 2, "surplus_penalty": 25.493, "bench_bonus": 6.208, "wait_discount": 0.301, "wait_margin": 4.545, "kdef_rounds_from_end": 3, "injury_penalty": 75.702, "rb_early_bonus":
a42634f	1843.4	120.6	5.89	0.287	300	discard	auto 93 screen: {"need_bonus": 34.269, "flex_bonus": 11.717, "depth_quota_rb": 2, "depth_quota_te": 4, "depth_quota_qb": 2, "surplus_penalty": 33.355, "bench_bonus": 8.259, "wait_margin": 4.138, "kdef_rounds_from_end": 1, "injury_penalty": 84.132, "rb_early_bonus": 
a42634f	1872.2	118.4	5.32	0.35	2700	discard	auto 94 confirmed: {"need_bonus": 46.096, "flex_bonus": 11.825, "depth_quota_wr": 4, "depth_quota_qb": 4, "surplus_penalty": 11.555, "bench_bonus": 7.616, "wait_discount": 0.441, "wait_margin": 2.126, "injury_penalty": 126.996, "rb_early_bonus": 9.468, "avail_sigma": 9
a42634f	1868.7	115.1	5.33	0.347	300	discard	auto 95 screen: {"need_bonus": 44.032, "flex_bonus": 10.631, "depth_quota_rb": 2, "depth_quota_wr": 4, "surplus_penalty": 25.143, "bench_bonus": 6.676, "wait_discount": 0.008, "wait_margin": 2.116, "injury_penalty": 65.118, "rb_early_bonus": 16.85, "te_earliest_roun
a42634f	1870.2	113.6	5.32	0.33	300	discard	auto 96 screen: {"need_bonus": 12.197, "flex_bonus": 4.924, "depth_quota_rb": 4, "depth_quota_wr": 6, "depth_quota_te": 2, "depth_quota_qb": 2, "surplus_penalty": 35.713, "bench_bonus": 5.73, "wait_discount": 0.329, "wait_margin": 5.562, "kdef_rounds_from_end": 3, "
a42634f	1875.0	122.3	5.26	0.357	300	discard	auto 97 screen: {"need_bonus": 7.592, "flex_bonus": 6.047, "depth_quota_rb": 4, "depth_quota_wr": 4, "depth_quota_te": 2, "depth_quota_qb": 2, "surplus_penalty": 20.638, "bench_bonus": 3.381, "wait_discount": 0.379, "wait_margin": 6.014, "kdef_rounds_from_end": 1, "
a42634f	1884.9	120.2	4.94	0.403	2700	discard	auto 98 confirmed: {"need_bonus": 38.376, "flex_bonus": 12.146, "depth_quota_rb": 4, "depth_quota_wr": 4, "depth_quota_te": 4, "surplus_penalty": 23.779, "bench_bonus": 7.352, "wait_discount": 0.385, "wait_margin": 5.479, "injury_penalty": 80.779, "rb_early_bonus": 7.1
a42634f	1869.5	118.8	5.41	0.343	300	discard	auto 99 screen: {"need_bonus": 33.033, "flex_bonus": 12.409, "depth_quota_rb": 2, "depth_quota_wr": 6, "depth_quota_te": 2, "depth_quota_qb": 4, "surplus_penalty": 46.613, "bench_bonus": 5.113, "wait_discount": 0.351, "wait_margin": 3.599, "injury_penalty": 104.512,
a42634f	1892.1	119.7	4.83	0.408	2700	discard	auto 100 confirmed: {"need_bonus": 43.762, "flex_bonus": 10.994, "depth_quota_wr": 4, "depth_quota_te": 4, "depth_quota_qb": 2, "surplus_penalty": 30.689, "bench_bonus": 5.985, "wait_discount": 0.38, "wait_margin": 5.749, "injury_penalty": 83.64, "rb_early_bonus": 7.41,
a42634f	1860.9	115.0	5.41	0.34	300	discard	auto 101 screen: {"need_bonus": 47.754, "flex_bonus": 11.31, "depth_quota_rb": 2, "depth_quota_wr": 6, "surplus_penalty": 35.6, "bench_bonus": 6.492, "wait_discount": 0.232, "wait_margin": 4.144, "injury_penalty": 85.823, "rb_early_bonus": 7.79, "qb_earliest_round": 
a42634f	1892.0	117.3	4.77	0.413	2700	discard	auto 102 confirmed: {"need_bonus": 47.061, "flex_bonus": 10.731, "depth_quota_rb": 4, "depth_quota_te": 2, "depth_quota_qb": 2, "surplus_penalty": 36.327, "bench_bonus": 10.627, "wait_discount": 0.373, "wait_margin": 3.744, "kdef_rounds_from_end": 3, "injury_penalty": 7
a42634f	1890.5	117.0	4.82	0.419	2700	discard	auto 103 confirmed: {"need_bonus": 44.768, "flex_bonus": 10.022, "depth_quota_wr": 6, "depth_quota_te": 2, "surplus_penalty": 22.985, "bench_bonus": 7.924, "wait_discount": 0.215, "wait_margin": 6.23, "injury_penalty": 30.825, "rb_early_bonus": 8.627, "qb_earliest_round
a42634f	1877.7	115.8	5.07	0.38	300	discard	auto 104 screen: {"need_bonus": 21.662, "flex_bonus": 20.493, "depth_quota_wr": 6, "depth_quota_te": 2, "surplus_penalty": 37.824, "bench_bonus": 2.272, "wait_discount": -0.094, "wait_margin": 2.003, "injury_penalty": 103.772, "rb_early_bonus": 12.323, "qb_earliest_r
a42634f	1874.7	121.6	5.26	0.39	300	discard	auto 105 screen: {"need_bonus": 31.176, "flex_bonus": 10.221, "depth_quota_rb": 4, "depth_quota_wr": 6, "depth_quota_te": 4, "surplus_penalty": 27.292, "bench_bonus": 3.063, "wait_discount": 0.31, "wait_margin": 2.893, "kdef_rounds_from_end": 3, "injury_penalty": 95.
a42634f	1880.6	120.9	5.14	0.383	300	discard	auto 106 screen: {"need_bonus": 34.432, "flex_bonus": 14.642, "depth_quota_wr": 6, "depth_quota_qb": 4, "surplus_penalty": 37.412, "bench_bonus": 7.713, "wait_discount": 0.178, "wait_margin": 4.728, "injury_penalty": 42.305, "rb_early_bonus": 7.771, "qb_earliest_roun
a42634f	1850.6	114.4	5.72	0.273	300	discard	auto 107 screen: {"need_bonus": 41.844, "flex_bonus": 8.663, "depth_quota_rb": 2, "depth_quota_wr": 6, "depth_quota_qb": 2, "surplus_penalty": 25.313, "bench_bonus": 7.821, "wait_discount": 0.565, "wait_margin": 4.417, "kdef_rounds_from_end": 1, "injury_penalty": 51.
a42634f	1863.9	116.2	5.44	0.337	300	discard	auto 108 screen: {"need_bonus": -12.776, "flex_bonus": 8.676, "depth_quota_wr": 6, "surplus_penalty": 53.964, "bench_bonus": 9.759, "wait_discount": 0.17, "wait_margin": 4.138, "injury_penalty": -23.248, "rb_early_bonus": 15.08, "te_earliest_round": 4, "avail_sigma":
a42634f	1883.7	120.4	5.09	0.37	300	discard	auto 109 screen: {"need_bonus": 20.556, "flex_bonus": 14.96, "depth_quota_rb": 4, "depth_quota_wr": 4, "depth_quota_te": 2, "depth_quota_qb": 2, "surplus_penalty": 51.29, "bench_bonus": 8.381, "wait_discount": 0.087, "wait_margin": 6.65, "injury_penalty": 114.272, "r
a42634f	1870.8	115.9	5.31	0.327	300	discard	auto 110 screen: {"need_bonus": 8.085, "flex_bonus": 9.053, "surplus_penalty": 26.502, "bench_bonus": 7.893, "wait_discount": 0.269, "wait_margin": 2.456, "kdef_rounds_from_end": 3, "injury_penalty": 75.88, "rb_early_bonus": 8.28, "qb_earliest_round": 5, "avail_sigma
a42634f	1886.9	116.1	4.89	0.403	2700	discard	auto 111 confirmed: {"need_bonus": 50.7, "flex_bonus": 11.625, "depth_quota_wr": 6, "depth_quota_te": 2, "depth_quota_qb": 2, "surplus_penalty": 42.363, "bench_bonus": 5.789, "wait_discount": 0.222, "wait_margin": 3.693, "kdef_rounds_from_end": 3, "injury_penalty": 27.1
a42634f	1889.3	116.7	4.83	0.417	2700	discard	auto 112 confirmed: {"need_bonus": 40.84, "flex_bonus": 13.681, "depth_quota_wr": 6, "depth_quota_qb": 4, "surplus_penalty": 25.622, "bench_bonus": 5.692, "wait_discount": 0.296, "wait_margin": 4.749, "injury_penalty": 64.934, "rb_early_bonus": 6.49, "qb_earliest_round"
a42634f	1879.6	115.0	4.92	0.407	300	discard	auto 113 screen: {"need_bonus": 47.763, "flex_bonus": 8.756, "depth_quota_rb": 4, "depth_quota_qb": 2, "surplus_penalty": 36.82, "bench_bonus": 8.943, "wait_discount": 0.369, "wait_margin": 4.321, "injury_penalty": 65.69, "rb_early_bonus": 5.964, "avail_sigma": 7.163
a42634f	1854.6	118.6	5.72	0.283	300	discard	auto 114 screen: {"need_bonus": 46.142, "flex_bonus": 5.94, "depth_quota_rb": 2, "depth_quota_wr": 6, "surplus_penalty": 20.492, "bench_bonus": 8.072, "wait_discount": 0.404, "wait_margin": 3.222, "injury_penalty": 76.589, "rb_early_bonus": 4.653, "te_earliest_round"
a42634f	1863.2	113.5	5.55	0.337	300	discard	auto 115 screen: {"need_bonus": 40.274, "flex_bonus": 9.014, "depth_quota_wr": 4, "depth_quota_te": 2, "surplus_penalty": 30.866, "bench_bonus": 7.04, "wait_discount": 0.267, "wait_margin": 4.076, "injury_penalty": 97.106, "rb_early_bonus": 2.245, "te_earliest_round"
a42634f	1875.7	117.2	5.28	0.36	300	discard	auto 116 screen: {"need_bonus": 43.645, "flex_bonus": 10.698, "depth_quota_rb": 2, "depth_quota_te": 2, "depth_quota_qb": 4, "surplus_penalty": 35.926, "bench_bonus": 8.103, "wait_discount": 0.3, "wait_margin": 4.226, "injury_penalty": 84.863, "rb_early_bonus": 6.028
a42634f	1862.3	125.7	5.56	0.33	300	discard	auto 117 screen: {"need_bonus": 42.504, "flex_bonus": 14.884, "surplus_penalty": 36.885, "bench_bonus": 5.531, "wait_discount": 0.494, "wait_margin": 6.535, "kdef_rounds_from_end": 1, "injury_penalty": 75.38, "rb_early_bonus": 4.696, "qb_earliest_round": 3, "te_earli
a42634f	1851.2	118.4	5.8	0.323	300	discard	auto 118 screen: {"need_bonus": 45.311, "flex_bonus": 12.839, "depth_quota_rb": 4, "depth_quota_te": 2, "depth_quota_qb": 4, "surplus_penalty": 28.494, "bench_bonus": 7.952, "wait_discount": 0.337, "wait_margin": 3.972, "kdef_rounds_from_end": 1, "injury_penalty": 71
a42634f	1874.1	119.1	5.33	0.333	300	discard	auto 119 screen: {"need_bonus": 31.641, "flex_bonus": 10.714, "depth_quota_rb": 2, "depth_quota_wr": 4, "depth_quota_te": 2, "depth_quota_qb": 2, "surplus_penalty": 34.134, "bench_bonus": 7.779, "wait_discount": 0.336, "wait_margin": 3.33, "injury_penalty": 73.583, "
a42634f	1865.3	107.8	5.33	0.353	300	discard	auto 120 screen: {"need_bonus": 45.874, "flex_bonus": 14.226, "depth_quota_wr": 4, "depth_quota_te": 2, "surplus_penalty": 10.111, "bench_bonus": 1.98, "wait_discount": 0.26, "wait_margin": 0.827, "kdef_rounds_from_end": 1, "injury_penalty": 68.988, "rb_early_bonus":
a42634f	1860.7	106.8	5.57	0.327	300	discard	auto 121 screen: {"need_bonus": 43.375, "flex_bonus": 10.085, "depth_quota_wr": 6, "surplus_penalty": 31.686, "bench_bonus": 9.435, "wait_discount": 0.354, "wait_margin": 4.673, "kdef_rounds_from_end": 1, "injury_penalty": 75.315, "rb_early_bonus": 7.195, "avail_sigm
a42634f	1878.4	124.2	5.11	0.383	300	discard	auto 122 screen: {"need_bonus": 39.961, "flex_bonus": 9.13, "depth_quota_qb": 2, "surplus_penalty": 23.296, "bench_bonus": 7.469, "wait_discount": 0.284, "wait_margin": 4.277, "injury_penalty": 69.617, "rb_early_bonus": 7.007, "te_earliest_round": 4, "avail_sigma": 7
a42634f	1860.9	115.8	5.61	0.293	300	discard	auto 123 screen: {"need_bonus": 47.772, "flex_bonus": 9.569, "depth_quota_te": 2, "surplus_penalty": 19.251, "bench_bonus": 13.738, "wait_discount": 0.452, "wait_margin": 6.221, "kdef_rounds_from_end": 3, "injury_penalty": 130.553, "rb_early_bonus": 5.036, "qb_earlie
a42634f	1833.4	118.0	6.17	0.243	300	discard	auto 124 screen: {"need_bonus": -33.313, "flex_bonus": 20.529, "depth_quota_qb": 4, "surplus_penalty": 38.712, "bench_bonus": 7.222, "wait_discount": -0.029, "wait_margin": 9.889, "kdef_rounds_from_end": 3, "injury_penalty": 24.964, "rb_early_bonus": 9.873, "qb_earli
a42634f	1864.4	123.0	5.38	0.36	300	discard	auto 125 screen: {"need_bonus": 39.862, "flex_bonus": 10.394, "depth_quota_te": 4, "depth_quota_qb": 2, "surplus_penalty": 26.145, "bench_bonus": 7.365, "wait_discount": 0.3, "wait_margin": 4.066, "kdef_rounds_from_end": 3, "injury_penalty": 76.075, "rb_early_bonus":
a42634f	1855.4	117.4	6.0	0.27	300	discard	auto 126 screen: {"need_bonus": 84.043, "flex_bonus": 15.76, "depth_quota_rb": 4, "depth_quota_te": 2, "depth_quota_qb": 4, "surplus_penalty": 34.661, "bench_bonus": 7.253, "wait_discount": 0.137, "wait_margin": 1.714, "injury_penalty": 31.618, "rb_early_bonus": 6.20
a42634f	1855.3	122.4	5.8	0.297	300	discard	auto 127 screen: {"need_bonus": 96.508, "flex_bonus": 20.753, "depth_quota_wr": 4, "surplus_penalty": 37.504, "bench_bonus": 2.738, "wait_discount": 0.521, "wait_margin": 7.799, "kdef_rounds_from_end": 3, "injury_penalty": 84.62, "rb_early_bonus": 5.603, "qb_earliest
a42634f	1878.1	112.2	5.17	0.353	300	discard	auto 128 screen: {"need_bonus": 30.257, "flex_bonus": 11.107, "depth_quota_wr": 4, "depth_quota_te": 2, "depth_quota_qb": 4, "surplus_penalty": 10.484, "bench_bonus": 5.933, "wait_discount": 0.314, "wait_margin": 4.757, "injury_penalty": 60.212, "rb_early_bonus": 4.7
a42634f	1879.3	120.6	5.01	0.377	300	discard	auto 129 screen: {"need_bonus": 29.905, "flex_bonus": 15.085, "depth_quota_rb": 2, "depth_quota_qb": 2, "surplus_penalty": 44.217, "bench_bonus": 5.957, "wait_discount": 0.286, "wait_margin": 4.126, "kdef_rounds_from_end": 3, "injury_penalty": 35.071, "rb_early_bonus
a42634f	1888.9	118.2	4.88	0.402	2700	discard	auto 130 confirmed: {"need_bonus": 49.428, "flex_bonus": 9.656, "depth_quota_te": 4, "depth_quota_qb": 2, "surplus_penalty": 26.913, "bench_bonus": 9.205, "wait_discount": 0.337, "wait_margin": 3.07, "injury_penalty": 75.344, "rb_early_bonus": 7.413, "avail_sigma": 8.42
a42634f	1870.5	113.5	5.36	0.35	300	discard	auto 131 screen: {"need_bonus": 55.355, "flex_bonus": 12.136, "depth_quota_te": 2, "depth_quota_qb": 4, "surplus_penalty": 26.43, "bench_bonus": 7.309, "wait_discount": 0.377, "wait_margin": 4.301, "injury_penalty": 103.804, "rb_early_bonus": 9.085, "qb_earliest_roun
a42634f	1883.3	130.8	5.18	0.39	300	discard	auto 132 screen: {"need_bonus": 50.416, "flex_bonus": 7.173, "depth_quota_te": 2, "surplus_penalty": 24.765, "bench_bonus": 4.657, "wait_discount": 0.301, "wait_margin": 3.988, "injury_penalty": 105.184, "rb_early_bonus": -7.283, "te_earliest_round": 2, "avail_sigma"
a42634f	1884.4	114.3	5.1	0.403	300	discard	auto 133 screen: {"need_bonus": 47.742, "flex_bonus": 20.163, "depth_quota_wr": 6, "surplus_penalty": 41.837, "bench_bonus": 6.108, "wait_discount": 0.496, "wait_margin": 3.089, "injury_penalty": 60.494, "rb_early_bonus": 4.895, "qb_earliest_round": 5, "te_earliest_r
a42634f	1892.2	120.5	4.76	0.42	2700	discard	auto 134 confirmed: {"need_bonus": 45.87, "flex_bonus": 12.79, "depth_quota_wr": 6, "depth_quota_qb": 4, "surplus_penalty": 13.039, "bench_bonus": 8.527, "wait_discount": 0.389, "wait_margin": 3.807, "kdef_rounds_from_end": 3, "injury_penalty": 10.536, "rb_early_bonus":
a42634f	1884.2	116.5	5.03	0.367	300	discard	auto 135 screen: {"need_bonus": 51.941, "flex_bonus": 9.992, "depth_quota_rb": 4, "depth_quota_te": 2, "depth_quota_qb": 2, "surplus_penalty": 11.33, "bench_bonus": 7.799, "wait_discount": 0.248, "wait_margin": 4.693, "injury_penalty": 83.878, "rb_early_bonus": 6.59,
a42634f	1852.4	122.7	5.88	0.307	300	discard	auto 136 screen: {"need_bonus": 63.818, "flex_bonus": 10.42, "depth_quota_rb": 2, "depth_quota_wr": 4, "depth_quota_te": 2, "depth_quota_qb": 4, "surplus_penalty": 30.489, "bench_bonus": 2.351, "wait_discount": 0.307, "wait_margin": 5.582, "injury_penalty": 105.27, "
a42634f	1808.6	127.6	6.75	0.207	300	discard	auto 137 screen: {"need_bonus": -27.731, "flex_bonus": 4.377, "surplus_penalty": 32.941, "bench_bonus": 16.274, "wait_discount": 0.208, "wait_margin": 6.307, "injury_penalty": 157.226, "rb_early_bonus": 11.255, "avail_sigma": 4.222, "avail_strength": 0.259, "cliff_ga
a42634f	1866.9	123.4	5.32	0.343	300	discard	auto 138 screen: {"need_bonus": 53.899, "flex_bonus": 5.947, "depth_quota_rb": 4, "surplus_penalty": 29.726, "bench_bonus": 5.789, "wait_discount": 0.366, "wait_margin": 4.825, "kdef_rounds_from_end": 1, "injury_penalty": 69.279, "rb_early_bonus": 8.294, "avail_sigma
a42634f	1875.0	124.0	5.34	0.353	300	discard	auto 139 screen: {"need_bonus": 40.741, "flex_bonus": 8.42, "depth_quota_rb": 4, "depth_quota_wr": 6, "depth_quota_qb": 2, "surplus_penalty": 39.618, "bench_bonus": 8.566, "wait_discount": 0.145, "wait_margin": 3.842, "injury_penalty": 78.381, "rb_early_bonus": 6.858
a42634f	1873.9	125.0	5.24	0.393	300	discard	auto 140 screen: {"need_bonus": 83.064, "flex_bonus": 8.063, "depth_quota_wr": 6, "depth_quota_te": 4, "surplus_penalty": 31.786, "bench_bonus": 7.805, "wait_discount": 0.421, "wait_margin": 1.91, "kdef_rounds_from_end": 3, "injury_penalty": 62.66, "rb_early_bonus": 
a42634f	1829.5	120.5	6.48	0.243	300	discard	auto 141 screen: {"need_bonus": 48.631, "flex_bonus": 10.778, "depth_quota_rb": 2, "depth_quota_qb": 4, "surplus_penalty": 30.852, "bench_bonus": 9.775, "wait_discount": 0.383, "wait_margin": 4.876, "kdef_rounds_from_end": 1, "injury_penalty": 72.156, "rb_early_bonus
a42634f	1879.7	122.4	4.99	0.41	300	discard	auto 142 screen: {"need_bonus": 44.571, "flex_bonus": 10.352, "depth_quota_wr": 4, "depth_quota_qb": 2, "surplus_penalty": -23.167, "bench_bonus": 6.424, "wait_discount": 0.397, "wait_margin": 3.016, "injury_penalty": 81.736, "rb_early_bonus": 8.841, "qb_earliest_rou
a42634f	1861.7	122.9	5.63	0.313	300	discard	auto 143 screen: {"need_bonus": 36.5, "flex_bonus": 11.042, "depth_quota_wr": 6, "surplus_penalty": 24.966, "bench_bonus": 7.461, "wait_discount": 0.33, "wait_margin": 4.027, "kdef_rounds_from_end": 1, "injury_penalty": 63.397, "rb_early_bonus": 8.053, "qb_earliest_r
